"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"27/06/2022","1,202.82","1,185.48","1,203.51","1,185.48","526.96K","1.46%"
"24/06/2022","1,185.48","1,188.88","1,196.85","1,185.48","478.69K","-0.29%"
"23/06/2022","1,188.88","1,169.27","1,188.88","1,162.06","440.78K","1.68%"
"22/06/2022","1,169.27","1,172.47","1,185.86","1,162.98","592.48K","-0.27%"
"21/06/2022","1,172.47","1,180.40","1,189.97","1,162.94","694.93K","-0.67%"
"20/06/2022","1,180.40","1,218.37","1,221.60","1,180.40","669.55K","-3.03%"
"17/06/2022","1,217.30","1,236.63","1,236.63","1,191.92","738.58K","-1.56%"
"16/06/2022","1,236.63","1,213.93","1,246.32","1,213.93","561.69K","1.87%"
"15/06/2022","1,213.93","1,230.31","1,235.56","1,195.19","688.12K","-1.33%"
"14/06/2022","1,230.31","1,227.04","1,239.36","1,211.13","560.89K","0.27%"
"13/06/2022","1,227.04","1,284.08","1,284.08","1,226.01","733.45K","-4.44%"
"10/06/2022","1,284.08","1,307.80","1,309.59","1,284.08","603.29K","-1.81%"
"09/06/2022","1,307.80","1,307.91","1,312.44","1,300.85","465.66K","-0.01%"
"08/06/2022","1,307.91","1,291.35","1,316.78","1,291.35","584.57K","1.28%"
"07/06/2022","1,291.35","1,290.01","1,291.35","1,260.92","670.87K","0.10%"
"06/06/2022","1,290.01","1,287.98","1,302.14","1,281.95","589.89K","0.16%"
"03/06/2022","1,287.98","1,288.62","1,292.78","1,276.37","473.81K","-0.05%"
"02/06/2022","1,288.62","1,299.52","1,302.66","1,283.32","572.55K","-0.84%"
"01/06/2022","1,299.52","1,292.68","1,302.25","1,286.01","573.63K","0.53%"
"31/05/2022","1,292.68","1,293.92","1,297.64","1,280.44","591.09K","-0.10%"
"30/05/2022","1,293.92","1,285.45","1,296.22","1,281.27","587.23K","0.66%"
"27/05/2022","1,285.45","1,268.57","1,286.99","1,268.57","607.22K","1.33%"